0,186-2-000015,__ 2ê³µì_,36.38851994,127.3488631,70
1,186-2-000016,__ì§êµ ê³µì_(1),36.35677363,127.3103269,30
2,186-2-000017,__ì§êµ ê³µì_(2),36.36050071,127.308142,19
3,186-2-000018,__ì§êµ ê³µì_(3),36.35860387,127.3093185,17
4,186-2-000019,__ì§êµ ê³µì_(4),36.35677363,127.3103269,29
5,186-2-000020,__ì§êµ ê³µì_(5),36.35604197,127.3102913,53
6,186-2-000021,__ì§êµ ê³µì_(6),36.35783461,127.3067967,21
7,186-2-000022,¥ë ê³µì_,36.36000008,127.331852,144
8,186-2-000024,__£¼ë¯¼ì_°ê³µ,36.39984221,127.3996829,60
9,186-2-000025,_ 1ê³µì_,36.39858478,127.4034104,37
10,186-2-000026,_ 2ê³µì_,36.39869299,127.4011231,28
11,186-2-000027,êµ___³µ,36.30262606,127.3148186,23
12,186-2-000029,___³µ,36.29832235,127.3193786,127
13,186-2-000030,__ì§êµ ê³µì_,36.35012088,127.2982723,62
14,186-2-000031,__ê³ ê³µì_ì£¼ì°¨,36.34532238,127.2905214,177
15,186-2-000032,¸ë_ ê³µì_ì£¼ì°¨,36.29262156,127.2736765,12
16,186-2-000033,__ì§êµ ê³µì_(2),36.3422138,127.3147208,46
17,186-2-000034,__ì§êµ ê³µì_(3),36.34183023,127.3071825,34
18,186-2-000035,__ì§êµ ê³µì_(4),36.34043256,127.3062871,40
19,186-2-000036,__ì§êµ ê³µì_(5),36.34761016,127.2970655,30
20,186-2-000037,__ì§êµ ê³µì_(6),36.33739008,127.2998974,34
21,183-1-000020,"¼ì_ _µ­__ ì£¼ë(__ë¡18ë²_¸¸, __ë¡174ë² _¸¸)",NAN,NAN,21
22,183-2-000032,¼ì__µ¬_³¨ë§__ê³µì_ì£¼ì°¨,NAN,NAN,10
23,183-1-000022,±ë_ ¨ì___ ´ê¸¸,NAN,NAN,45
24,183-1-000023,__ _µ­ì²____ê³µë_ ·ê¸¸,NAN,NAN,82
25,183-1-000024,__ ë³µí__ê±´ë¬¼ ,NAN,NAN,8
26,183-1-000025,__¼ê±°ë¦~1ì¹__êµ,NAN,NAN,25
27,183-1-000026,¬ì_ëª©ì___ ,NAN,NAN,17
28,184-2-000026,ë¬¸ì°½__ê³µì_ì£¼ì°¨,36.31561672,127.4384886,61
29,184-2-000027,____ê³µì_ì£¼ì°¨,36.31692977,127.3966599,53
30,184-2-000028,____2¸ì_,36.3291468,127.4220455,33
31,184-2-000029,¥ë_3¸ì_,36.32463693,127.4237318,53
32,184-2-000030,¥ë_5¸ì_,36.32411911,127.4247484,25
33,184-2-000031,__2__3¸ì_,36.32686868,127.3940601,23
34,184-2-000032,¬ì___1¸ì_,36.29711219,127.3840357,33
35,184-2-000033,¬ì___2¸ì_,36.29642442,127.3852018,32
36,184-2-000034,____1¸ì_,36.28533721,127.3844931,48
37,184-2-000035,____3¸ì_,36.32671701,127.4144851,22
38,184-2-000036,°ì___2¸ì_,36.305887,127.3870556,28
39,184-2-000037,°ì___1¸ì_,36.30557678,127.3880136,45
40,184-2-000038,____1¸ì_,36.33230442,127.4202841,113
41,184-2-000039,¥ë_4¸ì_,36.32608949,127.4225566,17
42,154-1-000109,¤ë_ë¡1ê¸¸ì_ê·,35.88867297,128.5696997,12
43,329-2-000027,ê¸__ë©´ê³µ_£¼ì°¨ì_,35.3441915,127.0272301,15
44,329-2-000028,ê³__ë©´ê³µ_£¼ì°¨ì_,35.2232226,126.972284,112
45,329-2-000029,__ë³´ì___¸ê³µ_£¼ì°¨ì_,35.3131923,126.9858807,77
46,329-2-000030,__ê³µì_ì£¼ì°¨,35.302307,126.9289421,50
47,329-2-000031,¨ì_ë¦ ê³µì_ì£¼ì°¨,35.31652832,126.9872207,150
48,329-2-000032,__ì§êµ ê³µì_ì£¼ì°¨,35.34691183,126.956563,10
